1426470590.171813 ccnd[4010]: CCND_DEBUG=7 CCND_CAP=1750
1426470590.171912 ccnd[4010]: listening on /tmp/.ccnd.sock.63001
1426470590.171936 ccnd[4010]: accepting ipv4 datagrams on fd 4 rcvbuf 212992
1426470590.171951 ccnd[4010]: accepting ipv4 connections on fd 5
1426470590.171965 ccnd[4010]: accepting ipv6 datagrams on fd 6 rcvbuf 212992
1426470590.171977 ccnd[4010]: accepting ipv6 connections on fd 7
1426470590.227312 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=002E/=5EA60F4C5D65CD29B9C60F132FFC8528A881931089AEE4F52E0FAC029368DF19 (4506 bytes)
1426470590.227418 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=002F/=8EF6E1BDF9610859D9E32284AF2D711EB3175FAACEF5FA802270680DBE7E531A (4506 bytes)
1426470590.227496 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0030/=A6B892D5D04265BC43A0A8756CFF519D66EB0E62B268A4AA0A1BD04E3C88449D (4506 bytes)
1426470590.227590 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0031/b%0FU=D38992E1EE27CF212C348DBC4C98D73470F833BB2E591ED4D9A149B6AB (4506 bytes)
1426470590.227641 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0032/8=8FAAA5C2618CE68FFC5EC417393334ADAAF6B20CAC8ADF865CACD6153278A7 (4506 bytes)
1426470590.227689 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0033/8=9A033EC1052DF2D70FF2FC8E36CF496DE6C34FBBA68A7786C32EB47A4CEE52 (4506 bytes)
1426470590.227744 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0034/=17C486AFACA5CEC407051F5C8850FC1B763DB37D5566F40EF499AB8E2E418537 (4506 bytes)
1426470590.227794 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0035/R%2F3%B5D=17EF27E7947C30B7DD727A3402C3452173CCA48AA9909D57D892A5 (4506 bytes)
1426470590.227853 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0036/I~=BC19502D30CED83A9D6D218FADE536E1085D4AEB93AA3C45A1E24B95E58E (4506 bytes)
1426470590.227947 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0037/=3BFD927BFFC05317714CFE827B5C647D680C254B0040269912918F8F01CAE4E3 (4506 bytes)
1426470590.227995 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0038/j=B310EDD2FF66B0B9A640B1D2AB202009FF4FA39750489DE2C973FCE193DD55 (4506 bytes)
1426470590.228037 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0039/=9FEE003CEB4F1C26B9118623C4A9425902356785EE4F72852B0552AA20014912 (4506 bytes)
1426470590.228086 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=003A/k=3DD5BB400AF7AAE2BE1B5BF69EA264C9B14AB08353F0AA0896E98201895578 (4506 bytes)
1426470590.228134 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=003B/%C5N=9906D843566BA483839583DC387EDEF65A33ED1EAFEC7BAE3B3FF20D8C0A (4506 bytes)
1426470590.228177 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=003C/=BF07D4AD98EACC546257ED2F12A49AAE66D06258BB9D2DC8584C3A7FE16ECA1B (4506 bytes)
1426470590.228226 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=003D/%8F9=0BB624059F524222040137A674F7A2C376C241A58F27E3C9E7732DFC3AF1 (4506 bytes)
1426470590.228268 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=003E/%D8r=8CE82A65EEC0947114E6BFC8F032D3EC34F4ADD15A3CDADE3F5E04875B26 (4506 bytes)
1426470590.228310 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=003F/%0AF%125A=EFE7BE573014F4240C8653247B6C0611F37E8A3781FB11BFAE4C07 (4506 bytes)
1426470590.228357 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0040/=D5D7483ADA7FFF006E316A0CA32285A82A9205F400CFABC26C5A378AEC8715AA (4506 bytes)
1426470590.228403 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0041/=10193D7D3C85ECFC18FDB14D68487CDA696F4110502B077F680DFD3E55D2B1F9 (4506 bytes)
1426470590.228447 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0042/=FBA93D6AD0881BC453F00AD1EAB558A7B63F96999B02A385A9D77009DB041023 (4506 bytes)
1426470590.228494 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0043/=01279B65695CD36FF8ACB29937036BD4AEAECF1FA0C6663296E4F359E14DFF3B (4506 bytes)
1426470590.228536 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0044/=C0B80A4DB19A6A987C9A1DE3A6042B4C33D7C11B7A89773C62ECC56C267D8FEB (4506 bytes)
1426470590.228581 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0045/=D0011526B2C2508CAA5BDEADC59BC9E6EF5E6BBE2AFD85DC2CF687C645CD55B7 (4506 bytes)
1426470590.228629 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0046/y=F23CF1BAD68A373AEDD227059C7EC1E873013E8C6C7C2CE06C4574DDDD9C70 (4506 bytes)
1426470590.228671 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0047/=FBB8FA1E7B1472D035C9352BE0CAC818B4B5CBE137C34BBB505AA14FC1B21663 (4506 bytes)
1426470590.228714 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0048/=EEB26A8D35BC1242063CBC0B0E1E970B14EC8DF2641A691500CB0B2DEF2180FB (4506 bytes)
1426470590.228761 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0049/=818BC166533C273C562844EA5728792C6B5A94842E2832C6E2A324CC42859617 (4506 bytes)
1426470590.228803 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=004A/yy=13811B7D41E9FB261D4FE07C362FEF48A90139BF2658F817E9B12AE7C7AD (4506 bytes)
1426470590.228845 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=004B/o=ECF9D83ED7E68120C13CD2E00709D4C73EA77819AA1CE3AD8597B1ADEC4C77 (4506 bytes)
1426470590.228907 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=004C/%F0u0=1D913BBED0FDA6BE6BB8D4E9CE7CE172F6EA43DB233A2D53098B18459E (4506 bytes)
1426470590.228955 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=004D/%D6X=3B8A084FFA04BE5A99DCDC06AB7D026E5EB32463F6F701C4B7FB817091DB (4506 bytes)
1426470590.229002 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=004E/=FEE7BC74FD29BF0F742C1D999D9295A54987C2E6AE89226FD42342CD8FDB23F3 (4506 bytes)
1426470590.229085 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=004F/=CCEF3976EE8B4D64A64DF35463C0E6953C14B56A22FEFA2631204135E003CA6F (4506 bytes)
1426470590.229136 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0050/%CBL=191B201DA499AB1C11F5C985942D9138C566F0D1992F216BF954C814EA29 (4506 bytes)
1426470590.229188 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0051/m=0CD8BACAD52C010BB95FA844435C0F71B8F94EF1D0FF8BDD706E7D1D09F0DF (4506 bytes)
1426470590.229243 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0052/=9E7F93E61B0A1FE17605DDA1E4C77C6569CFF040AE30AEAF047EBEB30F083692 (4506 bytes)
1426470590.229291 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0053/=91DCD5A5A92B50962563EB03D5C5187E2AB939E6A55AB8726160C9DC7AB7B9C0 (4506 bytes)
1426470590.229339 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0054/%1Cu=E1800C2C84ED1CE1C7639DE93A6F2F3773DA88D29681F1EEA7460B5F3C56 (4506 bytes)
1426470590.229393 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0055/=9E22C8B653CFAF719ACB9242C67D9D4E0E8C002774A6B413BB560F9CEDE6DD7D (4506 bytes)
1426470590.229442 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0056/=DFB7DA1A38B22AFB0BD284F845F2C89C209289CAFB8A91F4531DA541665A501E (4506 bytes)
1426470590.229489 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0057/=175C7DF77D4655805E95D5CE21983F8607A9351DCAEE774CB0F235CC5105DB8F (4506 bytes)
1426470590.229544 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0058/qqr%EF~=B9F8777B26D8A7D65C0E625C2D98B9787DBBEB9CDD1450E86D8440 (4506 bytes)
1426470590.229602 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0059/=F25D2064B37C3C016408D8AA356436E146C721C1C268F5A12536505FEAADE311 (4506 bytes)
1426470590.229645 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=005A/=14CF1797E89BDC10D95D97EF29E9FC2253403B99FCBCFA5CF563DC702CC91068 (4506 bytes)
1426470590.229692 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=005B/S%25V=E5E71E22363CB2C17AC4A584ED53B08356DACB942E003312467EA562BB (4506 bytes)
1426470590.229735 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=005C/=3FE7CAA2B0F0C8FC595FDF6FED650330BDDB4BD8C7FCF155286B2E923F52813A (4506 bytes)
1426470590.229779 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=005D/=087D44BCD524778BB36AD940B6FAB30406319C02663FA334023D9E0E96E7DDE3 (4506 bytes)
1426470590.229827 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=005E/=8B831FA6335ABD36DB9CA633830DCF52D2A253A4B36EBFFCFC1FB2CDE6E4DB34 (4506 bytes)
1426470590.229872 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=005F/g=08A4E1208372AA872ECDC0A00680D81A648E25186F0C12304AB38C0FBD51C5 (4506 bytes)
1426470590.229914 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0060/=8FDA7CB182BC17BE65724EA35E2069B6CF01830744400A219ECD3961C69C6029 (4506 bytes)
1426470590.229961 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0061/R=E41B6A4757E7E0E4167A136A269DECDFD8750DE30D6E97FFD3F91F2AF7B455 (4506 bytes)
1426470590.230003 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0062/%28Ai%CB6=BDEF1439B3DB53DDBB63882E4F6D1027754765D05BB061FE02600B (4506 bytes)
1426470590.230046 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0063/=8F601C50768EF0965D4B082F3771282A5AEF87B6D2D13A1AE9513195CAF0AC7B (4506 bytes)
1426470590.230092 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0064/=16299A9C7AEC09DF5ECC86962408948A6ED99D699624149B7BF7B94565474671 (4506 bytes)
